id,program_areas,strategies,categories
215,,,From the President
223,,,Grants Announcements
184,,,From the President
172,,,From the President
212,Climate,,
161,,,Grants Announcements
779,Education,,
56,Sector Effectiveness,,
76,Sector Effectiveness,Barr Fellowship,
258,Special Initiatives,Waterfront Initiative,From the President
226,Climate,Clean Energy,
59,Sector Effectiveness,Barr Fellowship,
583,,,
238,Education,,Early Education
241,Arts & Creativity,,
142,Sector Effectiveness,,
62,Sector Effectiveness,Barr Fellowship,
232,Climate,Clean Energy,
224,Sector Effectiveness,,From the President
225,Climate,Clean Energy,
185,Climate,Clean Energy,
234,Arts & Creativity,,
838,,,Racial Equity
837,Education,Invest in Educators,Racial Equity
27,,,
233,,,
239,Climate,Clean Energy,
236,Climate,,
237,Climate,Clean Energy,
235,Arts & Creativity,,
80,Sector Effectiveness,,
285,Climate,Clean Energy,
260,Climate,Mobility,
228,Arts & Creativity,,
259,Sector Effectiveness,,
240,,,Grants Announcements
221,Climate,Clean Energy,
242,,,Global
252,Climate,Clean Energy,
269,Climate | Special Initiatives,Climate Resilience | Waterfront Initiative,
267,Education,,Engage New England
286,,,Grants Announcements
227,,,
270,Climate,Clean Energy | Climate Resilience,
297,Climate,Clean Energy,
214,Arts & Creativity,,
81,Arts & Creativity | Sector Effectiveness,,
146,,Barr Fellowship,
229,Climate,Clean Energy,
92,Education,Barr Fellowship,
137,Climate,,
133,Climate,,
231,Arts & Creativity | Education,,
230,Special Initiatives,Waterfront Initiative,From the President
584,,,Racial Equity
163,Climate,Mobility,
201,Climate,Mobility,
61,Climate,,
271,Education,,
148,Climate,,
244,Climate,Mobility,
724,,,From the President|COVID-19|Racial Equity
243,Education,,
780,Climate,,Racial Equity
585,Education,,
778,Arts & Creativity,,Powering Cultural Futures
118,,Barr Fellowship,
218,,,Job Openings
222,Education,,
262,Climate,Clean Energy,
220,Arts & Creativity,,
840,Sector Effectiveness,,Racial Equity
22,Climate,,
916,Education,,
246,Climate,Climate Resilience,
275,,,
272,,,Grants Announcements
191,Education,,
253,Climate,Mobility,
45,,,
2,Arts & Creativity | Climate | Education,,From the President|Global
263,Arts & Creativity,,
248,,,From the President
15,Education,,
245,Climate,Mobility,
165,Arts & Creativity,,From the President
265,Climate,Clean Energy,
247,Arts & Creativity,,
316,Arts & Creativity,,
273,,,
586,Climate,Mobility,BostonBRT
251,Education,,
190,Climate,Clean Energy,
254,,,From the President
249,,,
256,Climate,Clean Energy,
167,Education,,Job Openings
255,Education,,Engage New England
288,Climate,Mobility,BostonBRT
189,Arts & Creativity,,
257,,,Grants Announcements
278,,,
66,Climate,Mobility,
277,,,Job Openings
250,Sector Effectiveness,,
207,Climate,Clean Energy,
104,Climate,,
287,Education,,
213,,,Global
156,Education,,Early Education
776,,,
775,,,From the President|Racial Equity
311,Climate,Mobility,BostonBRT
774,,,From the President|Racial Equity
317,Climate,Mobility,
124,Climate,,
129,Sector Effectiveness,,
131,Education,,
132,Climate,,
138,Climate,,
135,Climate,,
102,Climate,,
357,Sector Effectiveness,,From the President
352,Climate,Climate Resilience,
419,Climate,Clean Energy,
141,Climate,,
47,Education,,
289,Climate,Mobility,BostonBRT
19,Sector Effectiveness,,
170,Education,,Early Education
121,Climate,,
123,Climate,,
110,Sector Effectiveness,,
90,Education,,
210,Education,,
30,,,Global
298,,,Job Openings
38,Climate,,
179,Arts & Creativity,,
291,Arts & Creativity,,
356,Climate,Mobility,
292,Education,,
299,Arts & Creativity,,From the President
309,Arts & Creativity,,
12,,,From the President
380,Climate,Mobility,
293,Special Initiatives,,Democracy | From the President
280,Sector Effectiveness,Barr Fellowship,
300,Education,,
46,Climate,,
103,Arts & Creativity,,
26,Climate,,
363,Arts & Creativity,,
417,Climate,Climate Resilience,
306,Arts & Creativity,,
107,Arts & Creativity,,
140,Sector Effectiveness,,
95,Climate,,
294,Sector Effectiveness,,
266,Climate | Special Initiatives,Mobility | Waterfront Initiative,
119,Climate,,
25,,,From the President
96,Climate,,
295,Education,,
113,Education,,
86,Arts & Creativity,,
44,,,
128,Sector Effectiveness,,
303,Education,,
127,Climate,,
34,Climate,,
144,Climate,,
115,Sector Effectiveness,Barr Fellowship,
1,Climate,Clean Energy,
91,Education,,Early Education
126,Sector Effectiveness,,
304,,,Grants Announcements
154,Arts & Creativity,,
194,,,Grants Announcements
282,Climate,Clean Energy,
198,Arts & Creativity,,
155,,,
181,Climate,Mobility,
186,Arts & Creativity,,
305,,,
17,,,From the President
120,Climate,,
211,Education,,
153,Climate,Clean Energy | Climate Resilience,
183,Education,,
147,Sector Effectiveness,Barr Fellowship,
84,,,Global
29,Climate,,
164,Climate,Climate Resilience,
364,Arts & Creativity,,
94,Climate,Mobility,
88,Arts & Creativity,,
78,Arts & Creativity,,
64,Climate,,
152,Sector Effectiveness,,
151,,,From the President
51,Climate,,
11,,,From the President
71,Climate,,
7,Climate,Clean Energy,
99,,,
72,Arts & Creativity,,
97,Education,,
114,Sector Effectiveness,Barr Fellowship,
77,Climate,,
20,Education,,Early Education
307,Sector Effectiveness,Barr Fellowship,
35,Arts & Creativity,,
41,Education,,
