id,program_areas,strategies,categories
215,delete,delete,delete
223,delete,delete,delete
184,delete,delete,delete
172,delete,delete,delete
212,delete,delete,delete
161,delete,delete,delete
779,delete,delete,delete
56,delete,delete,delete
76,delete,delete,delete
258,delete,delete,delete
226,delete,delete,delete
59,delete,delete,delete
583,delete,delete,delete
238,delete,delete,delete
241,delete,delete,delete
142,delete,delete,delete
62,delete,delete,delete
232,delete,delete,delete
224,delete,delete,delete
225,delete,delete,delete
185,delete,delete,delete
234,delete,delete,delete
838,delete,delete,delete
837,delete,delete,delete
27,delete,delete,delete
233,delete,delete,delete
239,delete,delete,delete
236,delete,delete,delete
237,delete,delete,delete
235,delete,delete,delete
80,delete,delete,delete
285,delete,delete,delete
260,delete,delete,delete
228,delete,delete,delete
259,delete,delete,delete
240,delete,delete,delete
221,delete,delete,delete
242,delete,delete,delete
252,delete,delete,delete
269,delete,delete,delete
267,delete,delete,delete
286,delete,delete,delete
227,delete,delete,delete
270,delete,delete,delete
297,delete,delete,delete
214,delete,delete,delete
81,delete,delete,delete
146,delete,delete,delete
229,delete,delete,delete
92,delete,delete,delete
137,delete,delete,delete
133,delete,delete,delete
231,delete,delete,delete
230,delete,delete,delete
584,delete,delete,delete
163,delete,delete,delete
201,delete,delete,delete
61,delete,delete,delete
271,delete,delete,delete
148,delete,delete,delete
244,delete,delete,delete
724,delete,delete,delete
243,delete,delete,delete
780,delete,delete,delete
585,delete,delete,delete
778,delete,delete,delete
118,delete,delete,delete
218,delete,delete,delete
222,delete,delete,delete
262,delete,delete,delete
220,delete,delete,delete
840,delete,delete,delete
22,delete,delete,delete
916,delete,delete,delete
246,delete,delete,delete
275,delete,delete,delete
272,delete,delete,delete
191,delete,delete,delete
253,delete,delete,delete
45,delete,delete,delete
2,delete,delete,delete
263,delete,delete,delete
248,delete,delete,delete
15,delete,delete,delete
245,delete,delete,delete
165,delete,delete,delete
265,delete,delete,delete
247,delete,delete,delete
316,delete,delete,delete
273,delete,delete,delete
586,delete,delete,delete
251,delete,delete,delete
190,delete,delete,delete
254,delete,delete,delete
249,delete,delete,delete
256,delete,delete,delete
167,delete,delete,delete
255,delete,delete,delete
288,delete,delete,delete
189,delete,delete,delete
257,delete,delete,delete
278,delete,delete,delete
66,delete,delete,delete
277,delete,delete,delete
250,delete,delete,delete
207,delete,delete,delete
104,delete,delete,delete
287,delete,delete,delete
213,delete,delete,delete
156,delete,delete,delete
776,delete,delete,delete
775,delete,delete,delete
311,delete,delete,delete
774,delete,delete,delete
317,delete,delete,delete
124,delete,delete,delete
129,delete,delete,delete
131,delete,delete,delete
132,delete,delete,delete
138,delete,delete,delete
135,delete,delete,delete
102,delete,delete,delete
357,delete,delete,delete
352,delete,delete,delete
419,delete,delete,delete
141,delete,delete,delete
47,delete,delete,delete
289,delete,delete,delete
19,delete,delete,delete
170,delete,delete,delete
121,delete,delete,delete
123,delete,delete,delete
110,delete,delete,delete
90,delete,delete,delete
210,delete,delete,delete
30,delete,delete,delete
298,delete,delete,delete
38,delete,delete,delete
179,delete,delete,delete
291,delete,delete,delete
356,delete,delete,delete
292,delete,delete,delete
299,delete,delete,delete
309,delete,delete,delete
12,delete,delete,delete
380,delete,delete,delete
293,delete,delete,delete
280,delete,delete,delete
300,delete,delete,delete
46,delete,delete,delete
103,delete,delete,delete
26,delete,delete,delete
363,delete,delete,delete
417,delete,delete,delete
306,delete,delete,delete
107,delete,delete,delete
140,delete,delete,delete
95,delete,delete,delete
294,delete,delete,delete
266,delete,delete,delete
119,delete,delete,delete
25,delete,delete,delete
96,delete,delete,delete
295,delete,delete,delete
113,delete,delete,delete
86,delete,delete,delete
44,delete,delete,delete
128,delete,delete,delete
303,delete,delete,delete
127,delete,delete,delete
34,delete,delete,delete
144,delete,delete,delete
115,delete,delete,delete
1,delete,delete,delete
91,delete,delete,delete
126,delete,delete,delete
304,delete,delete,delete
154,delete,delete,delete
194,delete,delete,delete
282,delete,delete,delete
198,delete,delete,delete
155,delete,delete,delete
181,delete,delete,delete
186,delete,delete,delete
305,delete,delete,delete
17,delete,delete,delete
120,delete,delete,delete
211,delete,delete,delete
153,delete,delete,delete
183,delete,delete,delete
147,delete,delete,delete
84,delete,delete,delete
29,delete,delete,delete
164,delete,delete,delete
364,delete,delete,delete
94,delete,delete,delete
88,delete,delete,delete
78,delete,delete,delete
64,delete,delete,delete
152,delete,delete,delete
151,delete,delete,delete
51,delete,delete,delete
11,delete,delete,delete
71,delete,delete,delete
7,delete,delete,delete
99,delete,delete,delete
72,delete,delete,delete
97,delete,delete,delete
114,delete,delete,delete
77,delete,delete,delete
20,delete,delete,delete
307,delete,delete,delete
35,delete,delete,delete
41,delete,delete,delete
36,delete,delete,delete
196,delete,delete,delete
23,delete,delete,delete
50,delete,delete,delete
58,delete,delete,delete
24,delete,delete,delete
10,delete,delete,delete
9,delete,delete,delete
6,delete,delete,delete
42,delete,delete,delete
43,delete,delete,delete
54,delete,delete,delete
55,delete,delete,delete
57,delete,delete,delete
53,delete,delete,delete
69,delete,delete,delete
73,delete,delete,delete
67,delete,delete,delete
60,delete,delete,delete
85,delete,delete,delete
70,delete,delete,delete
100,delete,delete,delete
101,delete,delete,delete
108,delete,delete,delete
98,delete,delete,delete
203,delete,delete,delete
83,delete,delete,delete
515,delete,delete,delete
112,delete,delete,delete
116,delete,delete,delete
89,delete,delete,delete
125,delete,delete,delete
122,delete,delete,delete
143,delete,delete,delete
192,delete,delete,delete
136,delete,delete,delete
145,delete,delete,delete
134,delete,delete,delete
130,delete,delete,delete
75,delete,delete,delete
204,delete,delete,delete
781,delete,delete,delete
117,delete,delete,delete
371,delete,delete,delete
111,delete,delete,delete
93,delete,delete,delete
173,delete,delete,delete
65,delete,delete,delete
14,delete,delete,delete
158,delete,delete,delete
205,delete,delete,delete
476,delete,delete,delete
49,delete,delete,delete
199,delete,delete,delete
63,delete,delete,delete
39,delete,delete,delete
477,delete,delete,delete
782,delete,delete,delete
5,delete,delete,delete
149,delete,delete,delete
48,delete,delete,delete
159,delete,delete,delete
187,delete,delete,delete
475,delete,delete,delete
480,delete,delete,delete
68,delete,delete,delete
478,delete,delete,delete
479,delete,delete,delete
197,delete,delete,delete
18,delete,delete,delete
3,delete,delete,delete
37,delete,delete,delete
52,delete,delete,delete
784,delete,delete,delete
169,delete,delete,delete
188,delete,delete,delete
171,delete,delete,delete
182,delete,delete,delete
202,delete,delete,delete
177,delete,delete,delete
209,delete,delete,delete
178,delete,delete,delete
847,delete,delete,delete
168,delete,delete,delete
783,delete,delete,delete
323,delete,delete,delete
321,delete,delete,delete
279,delete,delete,delete
315,delete,delete,delete
314,delete,delete,delete
193,delete,delete,delete
312,delete,delete,delete
32,delete,delete,delete
281,delete,delete,delete
318,delete,delete,delete
308,delete,delete,delete
322,delete,delete,delete
324,delete,delete,delete
341,delete,delete,delete
325,delete,delete,delete
431,delete,delete,delete
174,delete,delete,delete
365,delete,delete,delete
326,delete,delete,delete
274,delete,delete,delete
176,delete,delete,delete
217,delete,delete,delete
166,delete,delete,delete
334,delete,delete,delete
327,delete,delete,delete
264,delete,delete,delete
330,delete,delete,delete
343,delete,delete,delete
328,delete,delete,delete
310,delete,delete,delete
331,delete,delete,delete
296,delete,delete,delete
276,delete,delete,delete
175,delete,delete,delete
469,delete,delete,delete
333,delete,delete,delete
332,delete,delete,delete
434,delete,delete,delete
467,delete,delete,delete
313,delete,delete,delete
268,delete,delete,delete
339,delete,delete,delete
290,delete,delete,delete
335,delete,delete,delete
338,delete,delete,delete
301,delete,delete,delete
474,delete,delete,delete
79,delete,delete,delete
344,delete,delete,delete
366,delete,delete,delete
368,delete,delete,delete
468,delete,delete,delete
470,delete,delete,delete
369,delete,delete,delete
336,delete,delete,delete
342,delete,delete,delete
337,delete,delete,delete
31,delete,delete,delete
340,delete,delete,delete
157,delete,delete,delete
302,delete,delete,delete
8,delete,delete,delete
374,delete,delete,delete
358,delete,delete,delete
347,delete,delete,delete
319,delete,delete,delete
180,delete,delete,delete
106,delete,delete,delete
367,delete,delete,delete
372,delete,delete,delete
351,delete,delete,delete
421,delete,delete,delete
345,delete,delete,delete
423,delete,delete,delete
4,delete,delete,delete
370,delete,delete,delete
376,delete,delete,delete
377,delete,delete,delete
375,delete,delete,delete
514,delete,delete,delete
346,delete,delete,delete
373,delete,delete,delete
208,delete,delete,delete
471,delete,delete,delete
362,delete,delete,delete
361,delete,delete,delete
350,delete,delete,delete
21,delete,delete,delete
416,delete,delete,delete
349,delete,delete,delete
105,delete,delete,delete
74,delete,delete,delete
378,delete,delete,delete
381,delete,delete,delete
422,delete,delete,delete
415,delete,delete,delete
109,delete,delete,delete
28,delete,delete,delete
355,delete,delete,delete
33,delete,delete,delete
216,delete,delete,delete
354,delete,delete,delete
139,delete,delete,delete
353,delete,delete,delete
382,delete,delete,delete
819,delete,delete,delete
418,delete,delete,delete
521,delete,delete,delete
517,delete,delete,delete
519,delete,delete,delete
379,delete,delete,delete
516,delete,delete,delete
518,delete,delete,delete
429,delete,delete,delete
587,delete,delete,delete
522,delete,delete,delete
428,delete,delete,delete
426,delete,delete,delete
527,delete,delete,delete
528,delete,delete,delete
424,delete,delete,delete
526,delete,delete,delete
591,delete,delete,delete
590,delete,delete,delete
588,delete,delete,delete
589,delete,delete,delete
546,delete,delete,delete
420,delete,delete,delete
538,delete,delete,delete
525,delete,delete,delete
592,delete,delete,delete
261,delete,delete,delete
714,delete,delete,delete
544,delete,delete,delete
40,delete,delete,delete
537,delete,delete,delete
540,delete,delete,delete
713,delete,delete,delete
542,delete,delete,delete
820,delete,delete,delete
711,delete,delete,delete
539,delete,delete,delete
594,delete,delete,delete
715,delete,delete,delete
676,delete,delete,delete
548,delete,delete,delete
547,delete,delete,delete
473,delete,delete,delete
630,delete,delete,delete
632,delete,delete,delete
545,delete,delete,delete
481,delete,delete,delete
16,delete,delete,delete
530,delete,delete,delete
634,delete,delete,delete
523,delete,delete,delete
532,delete,delete,delete
529,delete,delete,delete
533,delete,delete,delete
520,delete,delete,delete
534,delete,delete,delete
472,delete,delete,delete
531,delete,delete,delete
710,delete,delete,delete
550,delete,delete,delete
821,delete,delete,delete
636,delete,delete,delete
639,delete,delete,delete
674,delete,delete,delete
673,delete,delete,delete
721,delete,delete,delete
717,delete,delete,delete
716,delete,delete,delete
672,delete,delete,delete
822,delete,delete,delete
718,delete,delete,delete
722,delete,delete,delete
833,delete,delete,delete
767,delete,delete,delete
549,delete,delete,delete
638,delete,delete,delete
824,delete,delete,delete
827,delete,delete,delete
826,delete,delete,delete
524,delete,delete,delete
828,delete,delete,delete
772,delete,delete,delete
830,delete,delete,delete
823,delete,delete,delete
832,delete,delete,delete
766,delete,delete,delete
757,delete,delete,delete
760,delete,delete,delete
763,delete,delete,delete
769,delete,delete,delete
764,delete,delete,delete
758,delete,delete,delete
765,delete,delete,delete
677,delete,delete,delete
834,delete,delete,delete
770,delete,delete,delete
762,delete,delete,delete
720,delete,delete,delete
966,delete,delete,delete
771,delete,delete,delete
219,delete,delete,delete
675,delete,delete,delete
13,delete,delete,delete
777,delete,delete,delete
842,delete,delete,delete
200,delete,delete,delete
836,delete,delete,delete
843,delete,delete,delete
841,delete,delete,delete
844,delete,delete,delete
845,delete,delete,delete
825,delete,delete,delete
852,delete,delete,delete
536,delete,delete,delete
909,delete,delete,delete
329,delete,delete,delete
195,delete,delete,delete
283,delete,delete,delete
150,delete,delete,delete
931,delete,delete,delete
846,delete,delete,delete
925,delete,delete,delete
835,delete,delete,delete
854,delete,delete,delete
935,delete,delete,delete
943,delete,delete,delete
853,delete,delete,delete
851,delete,delete,delete
848,delete,delete,delete
922,delete,delete,delete
920,delete,delete,delete
937,delete,delete,delete
927,delete,delete,delete
928,delete,delete,delete
898,delete,delete,delete
932,delete,delete,delete
941,delete,delete,delete
759,delete,delete,delete
942,delete,delete,delete
284,delete,delete,delete
899,delete,delete,delete
860,delete,delete,delete
861,delete,delete,delete
855,delete,delete,delete
858,delete,delete,delete
857,delete,delete,delete
87,delete,delete,delete
859,delete,delete,delete
856,delete,delete,delete
635,delete,delete,delete
917,delete,delete,delete
862,delete,delete,delete
897,delete,delete,delete
904,delete,delete,delete
430,delete,delete,delete
863,delete,delete,delete
903,delete,delete,delete
896,delete,delete,delete
901,delete,delete,delete
933,delete,delete,delete
939,delete,delete,delete
629,delete,delete,delete
633,delete,delete,delete
911,delete,delete,delete
850,delete,delete,delete
907,delete,delete,delete
912,delete,delete,delete
906,delete,delete,delete
921,delete,delete,delete
910,delete,delete,delete
773,delete,delete,delete
908,delete,delete,delete
905,delete,delete,delete
915,delete,delete,delete
919,delete,delete,delete
923,delete,delete,delete
627,delete,delete,delete
914,delete,delete,delete
918,delete,delete,delete
934,delete,delete,delete
82,delete,delete,delete
924,delete,delete,delete
913,delete,delete,delete
977,delete,delete,delete
979,delete,delete,delete
978,delete,delete,delete
162,delete,delete,delete
432,delete,delete,delete
926,delete,delete,delete
930,delete,delete,delete
160,delete,delete,delete
831,delete,delete,delete
936,delete,delete,delete
960,delete,delete,delete
360,delete,delete,delete
938,delete,delete,delete
902,delete,delete,delete
944,delete,delete,delete
206,delete,delete,delete
940,delete,delete,delete
962,delete,delete,delete
945,delete,delete,delete
929,delete,delete,delete
946,delete,delete,delete
829,delete,delete,delete
961,delete,delete,delete
980,delete,delete,delete
817,delete,delete,delete
948,delete,delete,delete
949,delete,delete,delete
968,delete,delete,delete
359,delete,delete,delete
950,delete,delete,delete
969,delete,delete,delete
967,delete,delete,delete
981,delete,delete,delete
951,delete,delete,delete
947,delete,delete,delete
955,delete,delete,delete
433,delete,delete,delete
954,delete,delete,delete
953,delete,delete,delete
768,delete,delete,delete
958,delete,delete,delete
761,delete,delete,delete
723,delete,delete,delete
719,delete,delete,delete
971,delete,delete,delete
957,delete,delete,delete
959,delete,delete,delete
637,delete,delete,delete
982,delete,delete,delete
984,delete,delete,delete
976,delete,delete,delete
628,delete,delete,delete
973,delete,delete,delete
970,delete,delete,delete
543,delete,delete,delete
983,delete,delete,delete
631,delete,delete,delete
320,delete,delete,delete
593,delete,delete,delete
712,delete,delete,delete
425,delete,delete,delete
972,delete,delete,delete
963,delete,delete,delete
818,delete,delete,delete
535,delete,delete,delete
427,delete,delete,delete
965,delete,delete,delete
956,delete,delete,delete
