Organization: Organization Name,location,website
"350VERMONT, Inc.","Burlington, VT",https://350vermont.org
Abilities Dance Incorporated,"Brookline, MA",https://abilitiesdanceboston.org
"Alliance for Business Leadership, Inc.","Boston, MA",
"Croma, Inc.","Boston, MA",https://asctiffany.org
"Berkshire Immigrant Center, Inc.","Pittsfield, MA",https://berkshireic.org
"Greater Boston Chamber of Commerce Foundation, Inc.","Boston, MA",https://BOSTONCHAMBER.COM
"Boston Collegiate Charter School Foundation, Inc.","Dorchester, MA",https://BOSTONCOLLEGIATE.ORG
Candid,"New York, NY",https://candid.org
Climable,"Cambridge, MA",https://climable.org
"Dunamis, Inc.","Boston, MA",https://dunamisboston.org
"Education Reform Now, Inc.","New York, NY",https://edreformnow.org
"Flourish Agenda, Inc.","Oakland, CA",https://flourishagenda.com
"Fresh Start Wellness Center, Inc.","Worcester, MA",https://freshstart508.org
Grantmakers in the Arts,"Bronx, NY",https://giarts.org
"Guerilla Opera, Inc.","Boston, MA",https://guerillaopera.org
"A Better City Initiative, Inc.","Boston, MA",http://ABETTERCITY.ORG
"Berkshire Community College Foundation, Inc.","Pittsfield, MA",http://BERKSHIRECC.EDU
Berkshire Regional Planning Commission,"Pittsfield, MA",http://berkshireplanning.org/
Cambridge Community Foundation,"Cambridge, MA",http://cambridgecf.org/
"Chinatown Community Land Trust, Inc.","Boston, MA",http://chinatownclt.org/
Culturehouse Incorporated,"Somerville, MA",http://CULTUREHOUSE.CC
United States Energy Foundation,"San Francisco, CA",http://ef.org
Trustees of Eliot School,"Boston, MA",http://eliotschool.org
"Emerald Cities Partnership, Inc.","Washington, DC",http://Emeraldcities.org
"Grist Magazine, Inc.","Seattle, WA",http://grist.org/
"Holyoke Community Media, Inc.","Holyoke, MA",http://holyokemedia.org
Innovation Network for Communities,"Tamworth, NH",http://IN4C.NET
"LEADS, Inc.","Lawrence, MA",http://LEADSMA.ORG
"Community Labor United, Inc.","Boston, MA",http://massclu.org
"Martin Luther King Jr. Family Services, Inc.","Springfield, MA",http://MLKJRFAMILYSERVICES.ORG
"Massachusetts Law Reform Institute, Inc.","Boston, MA",http://MLRI.ORG
"Massachusetts School Administrators Association, Inc.","Franklin, MA",http://MSAA.net
"National Parents Union, Inc.","Woburn, MA",http://NATIONALPARENTSUNION.ORG
"NECEC Institute, Inc.","Somerville, MA",http://Nececinstitute.org
New World Foundation,"New York, NY",HTTP://NEWWF.ORG/
