,Request Number,Docket Record Name,Organization Name, Grant Amount , Amount (Fund-Coding) ,Budget Area/Strategy/Portfolio,Grant Purpose,Award Date,Fund Name,Award Year,Department
,18-07101,18-07101 - City of Boston,City of Boston,"$25,000.00","$12,500.00",Climate/Climate Resilience/Build Awareness of Climate Impacts,to provide additional support for scope expansion related to district resilience in South Boston/Fort Point,4/27/2018,Grants,2018,Climate
,18-07101,18-07101 - City of Boston,City of Boston,"$25,000.00","$12,500.00",Climate/Climate Resilience/Integrate Resilience Into the Fabric of Cities,to provide additional support for scope expansion related to district resilience in South Boston/Fort Point,4/27/2018,Grants,2018,Climate
,20-08810,"20-08810 - The Latina Circle, Inc.","The Latina Circle, Inc.","$25,000.00","$10,000.00",Memberships and Sponsorships/Sponsorships/Sector Effectiveness,"to support Amplify Latinx's 2020 Amplify Conference, Latinx Heritage Night and Awards, and Latinx Public Policy Forum and to conduct a polling project on the impacts of COVID19 on the Massachusetts Latinx community",6/30/2020,Grants,2020,Membership
,20-08810,"20-08810 - The Latina Circle, Inc.","The Latina Circle, Inc.","$25,000.00","$15,000.00",Special Initiatives/COVID-19 Response Fund,"to support Amplify Latinx's 2020 Amplify Conference, Latinx Heritage Night and Awards, and Latinx Public Policy Forum and to conduct a polling project on the impacts of COVID19 on the Massachusetts Latinx community",6/30/2020,Grants,2020,SpecialInit
,23-35865,"23-35865 - Mystic River Watershed Association, Inc.","Mystic River Watershed Association, Inc.","$33,000.00","$30,000.00",Climate/Clean Energy/Organizational Development,To support the equity in organizational decision-making peer learning group's engagement with the Interaction Institute for Social Change,11/28/2023,Grants,2023,Climate
,23-35865,"23-35865 - Mystic River Watershed Association, Inc.","Mystic River Watershed Association, Inc.","$33,000.00","$3,000.00",Climate/Climate (Top Level),To support the equity in organizational decision-making peer learning group's engagement with the Interaction Institute for Social Change,11/28/2023,Grants,2023,Climate
,20-08778,"20-08778 - Boston Foundation, Inc.","Boston Foundation, Inc.","$50,000.00","$10,000.00",Climate/Outcomes Measurement,to support mobility and other related research for the COVID Community Data Lab,6/30/2020,Grants,2020,Climate
,20-08778,"20-08778 - Boston Foundation, Inc.","Boston Foundation, Inc.","$50,000.00","$40,000.00",Climate/Mobility/Other,to support mobility and other related research for the COVID Community Data Lab,6/30/2020,Grants,2020,Climate
,21-09541,"21-09541 - Boston Foundation, Inc.","Boston Foundation, Inc.","$50,000.00","$10,000.00",Climate/Outcomes Measurement,To support mobility and other related research for the COVID Community Data Lab,7/27/2021,Grants,2021,Climate
,21-09541,"21-09541 - Boston Foundation, Inc.","Boston Foundation, Inc.","$50,000.00","$40,000.00",Climate/Mobility/Other,To support mobility and other related research for the COVID Community Data Lab,7/27/2021,Grants,2021,Climate
,18-06968,18-06968 - The Hideo Sasaki Foundation,The Hideo Sasaki Foundation,"$55,000.00","$18,700.00",Climate/Climate Resilience,to support strategic planning and workplan development for mobility and resilience,4/27/2018,Grants,2018,Climate
,18-06968,18-06968 - The Hideo Sasaki Foundation,The Hideo Sasaki Foundation,"$55,000.00","$36,300.00",Climate/Mobility/Modernize the Region's Transportation System,to support strategic planning and workplan development for mobility and resilience,4/27/2018,Grants,2018,Climate
,21-09276,21-09276 - Allston Brighton Health Collaborative,Allston Brighton Health Collaborative,"$60,000.00","$40,000.00",Climate/Mobility/Modernize the Region's Transportation System,To support the Allston Brighton Health Collaborative's transportation advocacy and community engagement,5/19/2021,Grants,2021,Climate
,21-09276,21-09276 - Allston Brighton Health Collaborative,Allston Brighton Health Collaborative,"$60,000.00","$10,000.00",Climate/Mobility/Develop Low-Carbon Communities,To support the Allston Brighton Health Collaborative's transportation advocacy and community engagement,5/19/2021,Grants,2021,Climate
,21-09276,21-09276 - Allston Brighton Health Collaborative,Allston Brighton Health Collaborative,"$60,000.00","$10,000.00",Climate/Climate (Top Level),To support the Allston Brighton Health Collaborative's transportation advocacy and community engagement,5/19/2021,Grants,2021,Climate
,21-09350,"21-09350 - The Funders Network, Inc.","The Funders Network, Inc.","$65,000.00","$25,000.00",Climate/Mobility/Other,To support the Mobility and Access Collaborative and TFN?Äôs racial equity action plan,7/27/2021,Grants,2021,Climate
,21-09350,"21-09350 - The Funders Network, Inc.","The Funders Network, Inc.","$65,000.00","$40,000.00",Climate/Climate (Top Level),To support the Mobility and Access Collaborative and TFN?Äôs racial equity action plan,7/27/2021,Grants,2021,Climate
,22-35092,22-35092 - Massachusetts Climate Action Network,Massachusetts Climate Action Network,"$65,000.00","$30,000.00",Climate/Climate (Top Level),To support MCAN?s leadership transition and equity-centered strategic plan,9/27/2022,Grants,2022,Climate
,22-35092,22-35092 - Massachusetts Climate Action Network,Massachusetts Climate Action Network,"$65,000.00","$35,000.00",Organizational Development Support Fund,To support MCAN?s leadership transition and equity-centered strategic plan,9/27/2022,Grants,2022,OrgDev
,6656,6656 - Innovation Network for Communities,Innovation Network for Communities,"$75,000.00","$37,500.00",Climate/Climate Resilience/Build Awareness of Climate Impacts,To provide supplemental support for the European climate innovations study trip focused on carbon neutrality and long-term climate resilience,8/2/2016,Grants,2016,Climate
