Request Number,Docket Record Name,Organization Name,Grant Amount,grant_amount_number,Amount (Fund-Coding),program_areas,strategies,Grant Purpose,Award Date,Fund Name,Award Year,Department
5334,"5334 - Oxfam-America, Inc.","Oxfam-America, Inc.","$350,000.00","350,000.00","$175,000.00",Former Global Program,,Artibonite Valley SRI Expansion Project,6/4/2014,Global Grants,2014,Old
5478,"5478 - Bessie Tartt Wilson Initiative for Children, Inc.","Bessie Tartt Wilson Initiative for Children, Inc.","$250,000.00","250,000.00","$125,000.00",Education,,"""Strengthening Early Education and Care in Massachusetts""",9/17/2014,Grants,2014,Education
5553,5553 - Pathfinder International,Pathfinder International,"$800,000.00","800,000.00","$400,000.00",Former Global Program,,"Population, Health, and the Environment Program in East Africa",9/17/2014,Global Grants,2014,Old
5747,5747 - Innovation Network for Communities,Innovation Network for Communities,"$1,160,000.00","1,160,000.00","$580,000.00",Climate,Clean Energy,Boston Green Ribbon Commission,3/2/2015,Grants,2015,Climate
5755,5755 - Smart Growth America,Smart Growth America,"$500,000.00","500,000.00","$190,000.00",Climate,Mobility,its LOCUS program,3/2/2015,Grants,2015,Climate
6027,6027 - United Way of Massachusetts Bay and Merrimack Valley,United Way of Massachusetts Bay and Merrimack Valley,"$200,000.00","200,000.00","$100,000.00",Education,,To provide operating support as Thrive in 5 pursues its current school-readiness agenda and simultaneously determines its path going forward.,9/16/2015,Grants,2015,Education
6115,6115 - Stand for Children Leadership Center,Stand for Children Leadership Center,"$400,000.00","400,000.00","$200,000.00",Education,,To provide core operating support for Stand for Children Massachusetts and its family engagement and organizing so that children have increased access to high-quality early and K-12 education,12/2/2015,Grants,2015,Education
6269,6269 - Metropolitan Area Planning Council,Metropolitan Area Planning Council,"$4,250,000.00","4,250,000.00","$3,187,500.00",Climate,Mobility,"to support mobility, clean energy, and climate resiliency planning within MAPC's region",3/2/2016,Grants,2016,Climate
6656,6656 - Innovation Network for Communities,Innovation Network for Communities,"$75,000.00","75,000.00","$37,500.00",Climate,Climate Resilience,To provide supplemental support for the European climate innovations study trip focused on carbon neutrality and long-term climate resilience,8/2/2016,Grants,2016,Climate
6662,6662 - City of Boston,City of Boston,"$835,000.00","835,000.00","$417,500.00",Climate,Climate Resilience,To support community-level resilience projects as part of Climate Ready Boston Phase II,12/7/2016,Grants,2016,Climate
6677,"6677 - Conservation Law Foundation, Inc.","Conservation Law Foundation, Inc.","$1,200,000.00","1,200,000.00","$600,000.00",Climate,Clean Energy,to support regional climate policy and practice,12/7/2016,Grants,2016,Climate
6700,6700 - Greater Boston Chamber of Commerce,Greater Boston Chamber of Commerce,"$75,000.00","75,000.00","$37,500.00",Sector Effectiveness,Decision Making,To support its Greater Boston Chamber of Commerce City Awake Delegates program for next-generation civic discourse and leadership,8/31/2016,Grants,2016,SectorEffect
16-01402,16-01402 - Innovation Network for Communities,Innovation Network for Communities,"$1,400,000.00","1,400,000.00","$700,000.00",Climate,Climate Resilience,To support core operations of the Green Ribbon Commission and its working groups,3/8/2017,Grants,2017,Climate
16-01402--2,16-01402--2 - Innovation Network for Communities,Innovation Network for Communities,"$1,400,000.00","1,400,000.00","$700,000.00",Climate,Clean Energy,To support core operations of the Green Ribbon Commission and its working groups,3/8/2017,Grants,2017,Climate
16-01431,16-01431 - Environmental Grantmakers Association,Environmental Grantmakers Association,"$80,000.00","80,000.00","$40,000.00",Climate,Clean Energy,To support the EGA Environmental Fellowship Program and the placement of four fellows in Barr grantee organizations,11/30/2016,Grants,2016,Climate
16-01431--2,16-01431--2 - Environmental Grantmakers Association,Environmental Grantmakers Association,"$80,000.00","80,000.00","$40,000.00",Climate,Mobility,To support the EGA Environmental Fellowship Program and the placement of four fellows in Barr grantee organizations,11/30/2016,Grants,2016,Climate
17-06412,"17-06412 - Union of Concerned Scientists, Inc.","Union of Concerned Scientists, Inc.","$600,000.00","600,000.00","$300,000.00",Climate,Climate Resilience,"to support analysis, outreach, and policy education on climate change impacts",9/27/2017,Grants,2017,Climate
