Strategic Alignment Code Name,Budget Area,Strategy,Portfolio,,"Translation for Website (comma separates tags. First tag is at the Program Area level. Second tag is at the strategy level. Third tag is at a deeper level, which could be named ""cohort"" or simply be listed as a secondary strategy tag.)",Notes
AC10000 - Arts and Creativity,Arts and Creativity,,,,Arts & Creativity,"Use the ""&"" sign instead of spelling out ""and"""
AC10001 - Arts and Creativity/Invest in Adaptive and Relevant Organizations,Arts and Creativity,Invest in Adaptive and Relevant Organizations,,,"Arts and Creativity, Adapting Bolding",Slightly different way to reference that arts strategy
AC10012 - Arts and Creativity/Foster Cross-Sectoral Relationships/Creative Place,Arts and Creativity,Foster Cross-Sectoral Relationships,Creative Placemaking,,"Arts and Creativity, Spanning Sectors",Slightly different way to reference that arts strategy
AC10024 - Arts and Creativity/Foster Cross-Sectoral Relationships,Arts and Creativity,Foster Cross-Sectoral Relationships,,,"Arts and Creativity, Spanning Sectors",
AC10025 - Arts and Creativity/Foster Cross-Sectoral Relationships/Intersection o,Arts and Creativity,Foster Cross-Sectoral Relationships,"Intersection of Arts, Science, and Technology",,"Arts and Creativity, Spanning Sectors",
AC10026 - Arts and Creativity/Activate Public Support,Arts and Creativity,Activate Public Support,,,"Arts & Creativity, Activating Public Support",Slightly different way to reference that arts strategy
"AC10027 - Arts and Creativity/Activate Public Support/Advocacy, Research and Pol",Arts and Creativity,Activate Public Support,"Advocacy, Research, and Policy",,"Arts & Creativity, Activating Public Support",
AC10028 - Arts and Creativity/Activate Public Support/Media and Communications,Arts and Creativity,Activate Public Support,Media and Communications,,"Arts & Creativity, Activating Public Support",
AC10029 - Former Arts amd Creativity Strategies,Former Arts and Creativity Strategies,,,,Arts & Creativity ,"For old/former strategy codes in Salesforce, let's leave them with the generic broad program area tag."
AC20000 - Arts and Creativity/Outcomes Measurement,Arts and Creativity,Outcomes Measurement,,,Arts and Creativity,
AC40000 - Arts and Creativity/Organizational Development,Arts and Creativity,Organizational Development,,,Arts and Creativity,
CC10000 - Climate,Climate,Climate (Top Level),,,Climate,
CC10001 - Climate/Clean Energy,Climate,Clean Energy,,,"Climate, Clean Energy",
CC10018 - Climate/Climate Resilience,Climate,Climate Resilience,,,"Climate, Climate Resilience",
CC10022 - Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,Climate,Clean Energy,Expand Renewable Energy and Energy Efficiency,,"Climate, Clean Energy",
