Organization Name,Docket Record Name,Request Number,Amount (Fund-Coding),Amount (Number),Internal Grant Status,Award Date,Duration (Months),Sponsored Organization: Organization Name,Grant Purpose,Website,Program Areas,Strategies
"TransitCenter, Inc.","23-35613 - TransitCenter, Inc.",23-35613,"$25,000.00",25000,Awarded,7/21/2023,12,,to support TransitCenter's leadership transition,www.transitcenter.org,arts-and-creativity,
"United Way of Central Massachusetts, Inc.","23-35743 - United Way of Central Massachusetts, Inc.",23-35743,"$250,000.00",250000,Awarded,8/16/2023,12,,To support the Massachusetts Farm Resiliency Fund,http://www.unitedwaycm.org,arts-and-creativity,
"United Way of Massachusetts Bay, Inc.","23-35745 - United Way of Massachusetts Bay, Inc.",23-35745,"$250,000.00",250000,Awarded,8/16/2023,12,,To support the Massachusetts Migrant Families Relief Fund,unitedwaymassbay.org,arts-and-creativity,
"Alliance for Business Leadership, Inc.","23-35372 - Alliance for Business Leadership, Inc.",23-35372,$0.00,0,Closed,2/28/2023,12,,To support the Alliance for Business Leadership during their President transition,alliancebl.org,arts-and-creativity,
"Environmental League of Massachusetts, Inc.","23-35375 - Environmental League of Massachusetts, Inc.",23-35375,"$47,000.00",47000,Awarded,2/28/2023,12,,To support ELM's racial equity training for managers and Vice President search.,http://www.environmentalleague.org/,arts-and-creativity,
"Interstate Renewable Energy Council, Inc.","23-35419 - Interstate Renewable Energy Council, Inc.",23-35419,"$15,000.00",15000,Awarded,3/27/2023,12,,to support racial equity trainings and development for IREC's staff and Board,www.irecusa.org,arts-and-creativity,
"WalkBoston, Inc.","22-35266 - WalkBoston, Inc.",22-35266,"$100,000.00",100000,Awarded,1/4/2023,12,,To support recruitment and rebranding,www.walkboston.org,arts-and-creativity,
"Partnership Project, Inc.",23-35403 - Climate Advocacy Lab,23-35403,"$25,000.00",25000,Awarded,3/27/2023,12,Climate Advocacy Lab,To build capacity in communications and development in the new Climate Advocacy Lab leadership team,http://WWW.SAVEOURENVIRONMENT.ORG,arts-and-creativity,
FII - National dba UpTogether,23-35466 - FII - National dba UpTogether,23-35466,$250.00,250,Awarded,3/27/2023,6,,For unrestricted support to recognize Lauren Woody's engagement in an input conversation for Barr's Racial Wealth Equity Initiative,www.uptogether.org,arts-and-creativity,
Benjamin Franklin Institute of Technology,23-35468 - Benjamin Franklin Institute of Technology,23-35468,$250.00,250,Awarded,3/27/2023,6,,For unrestricted support to recognize Aisha Francis' engagement in an input conversation for Barr's Racial Wealth Equity Initiative,www.bfit.edu,arts-and-creativity,
"Boston Foundation, Inc.","23-35467 - Boston Foundation, Inc.",23-35467,$250.00,250,Awarded,3/27/2023,6,,For unrestricted support to recognize Makeeba McCreary of New Commonwealth Racial Equity and Social Justice Fund for her engagement in an input conversation for Barr's Racial Wealth Equity Initiative,https://www.tbf.org,arts-and-creativity,
"Black Economic Council of Massachusetts, Inc.","23-35465 - Black Economic Council of Massachusetts, Inc.",23-35465,$500.00,500,Awarded,3/27/2023,6,,For unrestricted support to recognize Nicole Obi and Lori Britton's engagement in an input conversation for Barr's Racial Wealth Equity Initiative,https://becma.org,arts-and-creativity,
"Boston Harbor Now, Inc.","23-35486 - Boston Harbor Now, Inc.",23-35486,"$2,000.00",2000,Awarded,5/2/2023,6,,To support the Stone Living Lab's 2023 Conference at the Silver Sponsor level,http://www.bostonharbornow.org,arts-and-creativity,
Piers Park Sailing Center,23-35589 - Piers Park Sailing Center,23-35589,"$200,000.00",200000,Awarded,6/30/2023,24,,To provide general operating support,www.PiersParkSailing.org,arts-and-creativity,
"Boston Harbor Now, Inc.","23-35588 - Boston Harbor Now, Inc.",23-35588,"$100,000.00",100000,Awarded,6/30/2023,12,,To provide support for the ground-truthing phase of its Waterfront Data Project,http://www.bostonharbornow.org,arts-and-creativity,
The Harborkeepers,23-35442 - The Harborkeepers,23-35442,"$125,000.00",125000,Awarded,3/27/2023,24,,To provide general operating support,,arts-and-creativity,
"Boston Harbor Now, Inc.","22-35274 - Boston Harbor Now, Inc.",22-35274,"$540,000.00",540000,Awarded,1/31/2023,12,,To provide core support for the Coalition for a Resilient and Inclusive Waterfront,http://www.bostonharbornow.org,arts-and-creativity,
"Mystic River Watershed Association, Inc.","23-35480 - Mystic River Watershed Association, Inc.",23-35480,"$300,000.00",300000,Awarded,6/13/2023,36,,"To support projects and efforts to develop climate resilience, greenways, and waterfront access",www.mysticriver.org,arts-and-creativity,
"Thompson Island Outward Bound Education Center, Inc.","22-35278 - Thompson Island Outward Bound Education Center, Inc.",22-35278,"$100,000.00",100000,Awarded,1/4/2023,12,,To provide general operating support,http://www.thompsonisland.org,arts-and-creativity,
"CropCircle Kitchen, Inc. d/b/a CommonWealth Kitchen","23-35575 - CropCircle Kitchen, Inc. d/b/a CommonWealth Kitchen",23-35575,"$50,000.00",50000,Awarded,6/6/2023,12,,To provide one-time organizational development support,www.commonwealthkitchen.org,arts-and-creativity,
"Grub Street, Inc.","23-35574 - Grub Street, Inc.",23-35574,"$25,000.00",25000,Awarded,6/6/2023,12,,To provide one-time organizational development support,www.grubstreet.org,arts-and-creativity,
"Political Asylum Immigration Representation Project, Inc.","23-35610 - Political Asylum Immigration Representation Project, Inc.",23-35610,"$115,000.00",115000,Awarded,6/30/2023,12,,To provide one-time organizational development support,https://www.pairproject.org,arts-and-creativity,
Borealis Philanthropy,23-35245 - Borealis Philanthropy,22-35245,"$150,000.00",150000,Awarded,1/4/2023,12,,"To support Round 5 of the REACH Fund, a funder collaborative aimed at advancing racial and intersectional equity and inclusion in the nonprofit sector",www.borealisphilanthropy.org,arts-and-creativity,
"Third Sector New England, Inc.",23-35509 - Commonwealth Seminar,23-35509,"$115,000.00",115000,Awarded,6/6/2023,36,Commonwealth Seminar,To provide continued core support for its Commonwealth Seminar program and to build the Seminar’s operating capacity,http://www.tsne.org,arts-and-creativity,
"Greater Boston Chamber of Commerce Foundation, Inc.","23-35454 - Greater Boston Chamber of Commerce Foundation, Inc.",23-35454,"$250,000.00",250000,Awarded,5/2/2023,24,,"To provide continued support for the Greater Boston Chamber of Commerce’s City Awake program, including a survey to better understand the civic interests of young professionals",BOSTONCHAMBER.COM,arts-and-creativity,
"Massachusetts Budget and Policy Center, Inc.","23-35456 - Massachusetts Budget and Policy Center, Inc.",23-35456,"$750,000.00",750000,Awarded,6/7/2023,9,,To provide continued support for the Delivering on Equity Collective,http://www.massbudget.org,arts-and-creativity,Activating Public Support
"World Music, Inc. d/b/a Global Arts Live","23-35576 - World Music, Inc. d/b/a Global Arts Live",23-35576,"$125,000.00",125000,Awarded,6/30/2023,12,,To support strategic planning,www.globalartslive.org,arts-and-creativity,
"Double Edge Theatre Productions, Inc.",23-35674 - Ohketeau Cultural Center,23-35674,$500.00,500,Awarded,6/30/2023,5,Ohketeau Cultural Center,To support Ohketeau Cultural Center to network and go on site visits to other Powering Culture Futures organizations in summer and fall 2023,http://www.doubleedgetheatre.org,arts-and-creativity,
"Castle of Our Skins, Inc.","23-35667 - Castle of Our Skins, Inc.",23-35667,$500.00,500,Awarded,6/30/2023,5,,To support Powering Culture Futures organizations to network and go on site visits to each other in summer and fall 2023,http://www.castleskins.org,arts-and-creativity,
"Tiny Seed Project, Inc",23-35668 - Danza Organica,23-35668,$500.00,500,Awarded,6/30/2023,5,Danza Organica,To support Danza Organica to network and go on site visits to other Powering Culture Futures organizations in summer and fall 2023,http://www.tinyseedproject.org,arts-and-creativity,
"Hyde Square Task Force, Inc.","23-35671 - Hyde Square Task Force, Inc.",23-35671,$500.00,500,Awarded,6/30/2023,5,,To support Powering Culture Futures organizations to network and go on site visits to each other in summer and fall 2023,http://www.hydesquare.org,arts-and-creativity,
"Elevated Thought Foundation, Inc.","23-35669 - Elevated Thought Foundation, Inc.",23-35669,$500.00,500,Awarded,6/30/2023,5,,To support Powering Culture Futures organizations to network and go on site visits to each other in summer and fall 2023,www.elevatedthought.org,arts-and-creativity,
"Angkor Dance Troupe, Inc.","23-35665 - Angkor Dance Troupe, Inc.",23-35665,$500.00,500,Awarded,6/30/2023,5,,To support Powering Culture Futures organizations to network and go on site visits to each other in summer and fall 2023,www.angkordance.org,climate,Mobility
Aquinnah Cultural Center,23-35666 - Aquinnah Cultural Center,23-35666,$500.00,500,Awarded,6/30/2023,5,,To support Powering Culture Futures organizations to network and go on site visits to each other in summer and fall 2023,,climate,
"Theatrezone, Inc.",23-35675 - Teatro Chelsea,23-35675,$500.00,500,Awarded,6/30/2023,5,Teatro Chelsea,To support Teatro Chelsea to network and go on site visits to other Powering Culture Futures organizations in summer and fall 2023,http://WWW.APOLLINAIRETHEATRE.COM,climate,
Front Porch Arts Collective of Boston,23-35670 - Front Porch Arts Collective of Boston,23-35670,$500.00,500,Awarded,6/30/2023,5,,To support Powering Culture Futures organizations to network and go on site visits to each other in summer and fall 2023,http://www.frontporcharts.org,climate,
"The Loop Lab, Inc.","23-35672 - The Loop Lab, Inc.",23-35672,$500.00,500,Awarded,6/30/2023,5,,To support Powering Culture Futures organizations to network and go on site visits to each other in summer and fall 2023,http://www.thelooplab.org,climate,
Abilities Dance Incorporated,23-35664 - Abilities Dance Incorporated,23-35664,$500.00,500,Awarded,6/30/2023,5,,To support Powering Culture Futures organizations to network and go on site visits to each other in summer and fall 2023,abilitiesdanceboston.org,climate,
"3rd Eye Youth Empowerment, Inc.","23-35662 - 3rd Eye Youth Empowerment, Inc.",23-35662,$500.00,500,Awarded,6/30/2023,5,,To support Powering Culture Futures organizations to network and go on site visits to each other in summer and fall 2023,www.3rdeyeunlimited.com,climate,
"Southeast Asian Coalition of Central Massachusetts, Inc.","23-35673 - Southeast Asian Coalition of Central Massachusetts, Inc.",23-35673,$500.00,500,Awarded,6/30/2023,5,,To support Powering Culture Futures organizations to network and go on site visits to each other in summer and fall 2023,http://WWW.SEACMA.ORG,climate,
"Greater Worcester Community Foundation, Inc.","22-35301 - Greater Worcester Community Foundation, Inc.",22-35301,"$400,000.00",400000,Awarded,6/7/2023,12,,To support arts and culture activities as part of the Creative Commonwealth Initiative,http://www.greaterworcester.org,climate,
"Jean Appolon Expressions, Inc.","23-35492 - Jean Appolon Expressions, Inc.",23-35492,"$400,000.00",400000,Awarded,6/30/2023,18,,To support the planning and build-out of a dance facility,https://jeanappolonexpressions.org/,climate,
"Essex County Community Foundation, Inc.","23-35364 - Essex County Community Foundation, Inc.",23-35364,"$125,000.00",125000,Awarded,1/31/2023,24,,To support additional Creative Commonwealth Initiative Partnership Grants,www.eccf.org,climate,
"EdVestors, Inc.","23-35463 - EdVestors, Inc.",23-35463,"$525,000.00",525000,Awarded,5/2/2023,36,,To support the BPS Arts Expansion Initiative,www.edvestors.org,climate,
"Jean Appolon Expressions, Inc.","23-35661 - Jean Appolon Expressions, Inc.",23-35661,$500.00,500,Awarded,6/30/2023,5,,To support Powering Culture Futures organizations to network and go on site visits to each other in summer and fall 2023,https://jeanappolonexpressions.org/,climate,
"The Berkshire Taconic Community Foundation, Inc.","23-35452 - The Berkshire Taconic Community Foundation, Inc.",23-35452,"$126,500.00",126500,Awarded,3/27/2023,12,,To support the Resident Leadership Engagement grants program,www.berkshiretaconic.org,climate,
Community Foundation of Western Massachusetts,22-35271 - Community Foundation of Western Massachusetts,22-35271,"$100,000.00",100000,Awarded,1/4/2023,12,,To increase the number and award size of grants to arts organizations as part of Valley Creates,www.communityfoundation.org,climate,
"Third Sector New England, Inc.",23-35294 - Boston Cultural Leaders Coalition,22-35294,"$1,000,000.00",1000000,Awarded,1/31/2023,42,Boston Cultural Leaders Coalition,To support the Boston Cultural Leaders Coalition,http://www.tsne.org,climate,
"Zeiterion Theatre, Inc.","23-35451 - Zeiterion Theatre, Inc.",23-35451,"$1,000,000.00",1000000,Awarded,5/2/2023,12,,To support the renovation of the Zeiterion Theatre,www.zeiterion.org,climate,
"Philanthropy Massachusetts, Inc.","23-35572 - Philanthropy Massachusetts, Inc.",23-35572,"$75,000.00",75000,Awarded,7/21/2023,36,,To support the Massachusetts Arts Funders Network,www.philanthropyma.org,climate,Climate Resilience
"Center for Effective Philanthropy, Inc.","23-35383 - Center for Effective Philanthropy, Inc.",23-35383,"$50,000.00",50000,Awarded,2/28/2023,12,,To support the Center for Effective Philanthropy’s 2023 national conference at the Distinguished Sponsor level,www.cep.org,climate,Climate Resilience
"New Bedford Fishing Heritage Center, Inc.","23-35476 - New Bedford Fishing Heritage Center, Inc.",23-35476,$500.00,500,Awarded,3/27/2023,12,,For unrestricted support in recognition of Laura Orleans' assistance and expertise offered to the Barr Foundation,www.fishingheritagecenter.org,climate,Climate Resilience
"GreenRoots, Inc.","23-35469 - GreenRoots, Inc.",23-35469,"$2,500.00",2500,Awarded,3/27/2023,12,,"For unrestricted support in recognition of Lila Greiner's assistance and expertise offered to the Technical Advisory Group (TAG), assembled to advise the RGGI Economic Study Plus (by Analysis Group)",www.greenrootschelsea.org,climate,Climate Resilience
"New Bedford Museum and Art Center, Inc.","23-35477 - New Bedford Museum and Art Center, Inc.",23-35477,$250.00,250,Awarded,3/27/2023,12,,For unrestricted support in recognition of Suzanne de Vegh's assistance and expertise offered to the Barr Foundation,www.newbedfordart.org,climate,Climate Resilience
"NECEC Institute, Inc.","23-35590 - NECEC Institute, Inc.",23-35590,$550.00,550,Awarded,6/6/2023,12,,For unrestricted support in recognition of Kristen Stelljes' assistance and expertise,http://Nececinstitute.org,climate,Climate Resilience
World Resources Institute,23-35392 - World Resources Institute,23-35392,"$2,500.00",2500,Awarded,2/28/2023,12,,"To provide unrestricted support in recognition of Devashree Saha's assistance and expertise offered to the Technical Advisory Group (TAG), assembled to advise the RGGI Economic Study Plus (by Analysis Group)",www.wri.org,climate,
"New Bedford Historical Society, Inc.",23-35499 - New Bedford Historical Society,23-35499,$500.00,500,Awarded,5/2/2023,12,,For unrestricted support in recognition of Lee Blake's assistance and expertise offered to the Barr Foundation,,climate,
"Chelsea Collaborative, Inc. dba La Colaborativa, Inc.","23-35432 - Chelsea Collaborative, Inc. dba La Colaborativa, Inc.",23-35432,$550.00,550,Awarded,2/28/2023,12,,To provide unrestricted support in recognition of Chris Martinez's service in the Climate team's Peer Learning series,https://www.la-colaborativa.org/,climate,
Old Dartmouth Historical Society dba New Bedford Whaling Museum,23-35470 - Old Dartmouth Historical Society dba New Bedford Whaling Museum,23-35470,$250.00,250,Awarded,3/27/2023,12,,For unrestricted support in recognition of Amanda McMullen's assistance and expertise during the Barr Foundation Climate team's visit to the Whaling Museum,www.whalingmuseum.org,climate,
Rocky Mountain Institute,23-35393 - Rocky Mountain Institute,23-35393,"$2,500.00",2500,Awarded,2/28/2023,12,,"To provide unrestricted support in recognition of Meredith Cowart assistance and expertise offered to the Technical Advisory Group (TAG), assembled to advise the RGGI Economic Study Plus (by Analysis Group)",www.rmi.org,climate,
Center for Coalfield Justice,23-35390 - Center for Coalfield Justice,23-35390,"$2,500.00",2500,Awarded,2/28/2023,12,,"To provide unrestricted support in recognition of Ethan Story's assistance and expertise offered to the Technical Advisory Group (TAG), assembled to advise the RGGI Economic Study Plus (by Analysis Group)",www.centerforcoalfieldjustice.org,climate,Clean Energy
Acadia Center,23-35391 - Acadia Center,23-35391,"$2,500.00",2500,Awarded,2/28/2023,12,,"To provide unrestricted support in recognition of Paola Moncada Tamayo assistance and expertise offered to the Technical Advisory Group (TAG), assembled to advise the RGGI Economic Study Plus (by Analysis Group)",https://acadiacenter.org/,climate,Clean Energy
Performing Arts Center of Los Angeles County,23-35413 - Performing Arts Center of Los Angeles County,23-35413,"$1,000.00",1000,Awarded,3/1/2023,12,,"For unrestricted support to recognize the service of Josephine Ramirez during the February 2023 convening to discuss how cities shape and advance ambitious aspirations for arts, culture and design",www.musiccenter.org,climate,Clean Energy
"Resist, Inc.",23-35607 - Resource Organizing Project,23-35607,$500.00,500,Awarded,6/30/2023,12,Resource Organizing Project,"To support Resource Organizing Project's 10th Anniversary Celebration to recognize the service of Imari Paris Jeffries during a May 7, 2023 Barr Foundation convening.",https://www.resist.org,climate,Clean Energy
MASS Design Group LTD,23-35475 - MASS Design Group LTD,23-35475,$500.00,500,Awarded,3/27/2023,6,,"For unrestricted support in recognition of MASS Design Group's staff for facilitation during the March 13, 2023 Barr Staff visit to the Embrace Monument and MASS Design Group's offices",http://www.massdesigngroup.org,climate,Clean Energy
"Essex County Community Foundation, Inc.","23-35566 - Essex County Community Foundation, Inc.",23-35566,$500.00,500,Awarded,6/7/2023,12,,"For support of the Creative County Initiative to recognize the service of Beth Francis during the June 13, 2023 Barr Foundation Trustee Meeting.",www.eccf.org,climate,Clean Energy
"Boston Foundation, Inc.","23-35464 - Boston Foundation, Inc.",23-35464,$500.00,500,Awarded,3/27/2023,6,,"For core support of the Boston Foundation's Embrace Boston program in recognition of Ana Maria Medina, Duncan Remage-Healey, Newton Johnson, and Imari Paris Jeffries of Embrace Boston for facilitation during the March 13, 2023 Barr Staff visit to the Embr",https://www.tbf.org,climate,Clean Energy
"Conservation Law Foundation, Inc.",23-35369 - Slingshot,23-35369,$500.00,500,Awarded,1/31/2023,12,Slingshot,To provide core support to Slingshot to recognize participation of Mireille Bejjani in Barr's website redesign interviews,www.clf.org,climate,Clean Energy
"Massachusetts Museum of Contemporary Art Foundation, Inc.","23-35414 - Massachusetts Museum of Contemporary Art Foundation, Inc.",23-35414,"$1,000.00",1000,Awarded,3/1/2023,12,,"For unrestricted support to recognize the service of Kristy Edmunds during the February 2023 convening to discuss how cities shape and advance ambitious aspirations for arts, culture and design",massmoca.org,climate,Clean Energy
"Deeply Rooted Productions, Inc.",23-35415 - Deeply Rooted Dance Theater,23-35415,"$1,000.00",1000,Awarded,3/1/2023,12,,"For unrestricted support to recognize the service of Michelle Boone during the February 2023 convening to discuss how cities shape and advance ambitious aspirations for arts, culture and design",http://www.deeplyrooteddancetheater.org,climate,Clean Energy
"MASSCreative, Inc.","23-35563 - MASSCreative, Inc.",23-35563,"$1,000.00",1000,Awarded,6/6/2023,12,,For unrestricted support to recognize the service of Emily Ruddock at Culture and Community in a Time of Transformation Convening 5.18.22,www.mass-creative.org,climate,Clean Energy
Trustees of Boston University,23-35379 - Boston Women's Workforce Council,23-35379,"$1,000.00",1000,Awarded,1/31/2023,12,Boston Women's Workforce Council,To provide a one-time sponsorship in recognition of the Boston Women's Workforce Council's 10th Anniversary as it conducts the 2023 Wage Gap Measurement Program,www.bu.edu,climate,Clean Energy
"PEAK Grantmaking, Inc.","23-35367 - PEAK Grantmaking, Inc.",23-35367,"$10,000.00",10000,Awarded,1/31/2023,12,,to support the Board Alumni Breakfast at PEAK 2023 in Baltimore in recognition of Kerri Hurley's Board Service,peakgrantmaking.org,climate,Clean Energy
"Massachusetts Nonprofit Network, Inc.","23-35348 - Massachusetts Nonprofit Network, Inc.",23-35348,"$2,500.00",2500,Awarded,1/4/2023,12,,To support 2024 Barr Foundation membership dues,www.massnonprofitnet.org,climate,Clean Energy
"Third Sector New England, Inc.",23-35331 - Building Movement Project,23-35331,"$15,000.00",15000,Awarded,1/4/2023,12,Building Movement Project,To support 2023 Barr Foundation membership dues,http://www.tsne.org,climate,Clean Energy
National Committee for Responsive Philanthropy,23-35358 - National Committee for Responsive Philanthropy,23-35358,"$20,000.00",20000,Awarded,1/4/2023,12,,To provide member support for 2023 to the NCRP,https://www.ncrp.org,climate,Clean Energy
"Media Impact Funders, Inc.","23-35355 - Media Impact Funders, Inc.",23-35355,"$5,000.00",5000,Awarded,1/4/2023,12,,To support 2023 Barr Foundation membership dues,http://www.mediaimpactfunders.org,climate,Clean Energy
Communication Network,23-35325 - Communication Network,23-35325,"$20,000.00",20000,Awarded,1/4/2023,12,,To support 2023 Barr Foundation membership dues,www.comnetwork.org,climate,Clean Energy
Independent Sector,23-35328 - Independent Sector,23-35328,"$17,500.00",17500,Awarded,1/4/2023,12,,To support 2023 Barr Foundation membership dues,http://www.independentsector.org,climate,Clean Energy
"Association of Black Foundation Executives, Inc.","23-35333 - Association of Black Foundation Executives, Inc.",23-35333,"$10,000.00",10000,Awarded,1/4/2023,12,,To support 2023 Barr Foundation membership dues,www.abfe.org,climate,Clean Energy
"The Funders Network, Inc.","23-35319 - The Funders Network, Inc.",23-35319,"$8,900.00",8900,Awarded,1/4/2023,12,,To support 2023 Barr Foundation Membership Dues,www.fundersnetwork.org,climate,Clean Energy
Grantmakers in the Arts,23-35339 - Grantmakers in the Arts,23-35339,"$23,190.00",23190,Awarded,1/4/2023,12,,To support 2023 Barr Foundation membership dues,giarts.org,climate,Clean Energy
