,Organization Name,,Docket Record Name,Geographic Area: Geographic Area Name,Request Number,Internal Grant Status,Grant Amount
,"Northeast Energy Efficiency Partnerships, Inc.",,"23-35553 - Northeast Energy Efficiency Partnerships, Inc.",Northeast,23-35553,Awarded,"$5,000.00"
,Hyams Foundation,,23-35478 - Hyams Foundation,Massachusetts,23-35478,Awarded,"$775,000.00"
,"Mystic River Watershed Association, Inc.",,"23-35480 - Mystic River Watershed Association, Inc.",Greater Boston Area,23-35480,Awarded,"$2,250,000.00"
,United Philanthropy Forum,,23-35445 - United Philanthropy Forum,National,23-35445,Awarded,"$150,000.00"
,Gateway Regional School District,,23-35535 - Gateway Regional School District,Massachusetts,23-35535,Awarded,"$100,000.00"
,"Cambridge Community Center, Inc.",,"23-35646 - Cambridge Community Center, Inc.",Greater Boston Area,23-35646,Awarded,"$75,000.00"
,Taunton Public Schools,,23-35539 - Taunton Public Schools,Massachusetts,23-35539,Awarded,"$100,000.00"
,Agawam Public Schools,,23-35531 - Agawam Public Schools,Massachusetts,23-35531,Awarded,"$100,000.00"
,"Teach for America, Inc.",,"23-35647 - Teach for America, Inc.",Connecticut,23-35647,Awarded,"$150,000.00"
,Milford Public Schools,,23-35537 - Milford Public Schools,Massachusetts,23-35537,Awarded,"$100,000.00"
,Millbury Public Schools,,23-35538 - Millbury Public Schools,Massachusetts,23-35538,Awarded,"$100,000.00"
,"Lawyers for Civil Rights, Inc.",,"23-35554 - Lawyers for Civil Rights, Inc.",Massachusetts,23-35554,Awarded,"$75,000.00"
,Relay Graduate School of Education,,23-35555 - Relay Graduate School of Education,New England,23-35555,Awarded,"$600,000.00"
,"New England Blacks in Philanthropy, Inc.",,"23-35462 - New England Blacks in Philanthropy, Inc.",New England,23-35462,Awarded,"$300,000.00"
,Innovation Network for Communities,,23-35552 - Building Electrification Institute,New England,23-35552,Awarded,"$300,000.00"
,Massachusetts Development Finance Agency,,23-35233 - Massachusetts Development Finance Agency,Massachusetts,22-35233,Awarded,"$300,000.00"
