id,title,summary,source_name,source_url,published_date,expired_date,image,program_areas
34,Greater Worcester Community Foundation receives $1 million grant,Greater Worcester Community Foundation announces $1 million in continued support from the Barr Foundation through its Creative Commonwealth Initiative.,Worcester Telegram,https://www.telegram.com/entertainmentlife/20190920/greater-worcester-community-foundation-receives-1-million-grant,2019-10-07,,2366.jpg,
33,$1 million more directed to boost local arts and culture,The Community Foundation of Southeastern Massachusetts announces an extended partnership with the Barr Foundation through its Creative Commonwealth Initiative. ,South Coast Today,https://www.southcoasttoday.com/news/20191001/1-million-more-directed-to-boost-local-arts-and-culture,2019-10-07,,2161.jpg,
32,Worcester cultural plan calls for artist-in-residence program,"The city, in partnership with Greater Worcester Community Foundation and the Worcester Cultural Coalition, has completed its first Cultural Plan, “Becoming Worcester: The Evolution of a Creative City.” The plan calls for an artist-in-residence program, among other priorities.",Worcester Telegram,https://www.telegram.com/news/20190528/worcester-cultural-plan-calls-for-artist-in-residence-program,2019-05-28,,2913.jpg,
30,¡Viva Buses!,A 2019 WBUR series on Mexico City's bus rapid transit system and the lessons for transportation development in Greater Boston.,WBUR,https://www.wbur.org/viva-buses,2019-05-06,,2937.jpg,
29,Arts community reacts to potential ‘game-changer’,"News that the prestigious Barr Foundation is routing $500,000 to the SouthCoast arts community was met with the excitement such an influx of funding naturally brings.",SouthCoast Today ,http://www.southcoasttoday.com/news/20180201/arts-community-reacts-to-potential-game-changer,2018-02-01,,2352.jpeg,Arts & Creativity
28,"Arts in New Bedford, Fall River get $500,000 boost","Hungry for a more lively arts scene, more public art and more venues for diverse artists?  Half a million dollars says the Community Foundation of Southeastern Massachusetts can make it happen in Fall River and New Bedford over the next two years.","Arts in New Bedford, Fall River get $500,000 boost",http://www.southcoasttoday.com/news/20180130/arts-in-new-bedford-fall-river-get-500000-boost,2018-01-30,,2350.jpeg,Arts & Creativity
27,A new creative partnership,The Berkshire Taconic Community Foundation of Sheffield is one of five similar organizations across the state that was chosen to participate in this two-year pilot program that is funded by the Barr Foundation. ,Berkshire Eagle,"http://www.berkshireeagle.com/stories/a-new-creative-partnership,536654",2018-04-09,,2349.jpg,Arts & Creativity
26,The Predicament of Strategic Philanthropy,"To create lasting change, philanthropy must move beyond business-like transactions and instead incorporate wisdom and practice from many players and approaches.",Center for Effective Philanthropy,http://cep.org/predicament-strategic-philanthropy/,2018-02-26,,2180.jpg,Sector Effectiveness
25,Podcast: The Business of Giving,"In this interview, Jim Canales discusses Barr's evolution from an anonymous giving entity to a family foundation to a leading grant maker in New England with a focus on arts, climate, and education.",The Business of Giving,https://denverfrederick.wordpress.com/2017/09/20/jim-canales-the-president-and-ceo-of-the-barr-foundation-joins-denver-frederick/,2017-09-22,,1876.jpg,
24,"It’s a cleaner harbor, with fewer spots to enjoy it","After $4.5 billion of public money was spent to clean up the Boston Harbor, Peter Shelley of the Conservation Law Foundation says the public is systematically being walled off from the harbor it paid to clean up.",Boston Globe,http://www.bostonglobe.com/metro/2017/05/27/cleaner-harbor-with-fewer-spots-enjoy/ZzPRAks04xRcZjP7h2h8uM/story.html,2017-05-30,,1647.jpg,Special Initiatives
23,A better bus experience on the Silver Line,Board any door on the Silver Line SL4 and SL5 from May 24-June 6.,BostonBRT,https://barrfdn-prod.s3.amazonaws.com/documents/141/attachments/Better_Bus_Experience_press_release_Final_5.22.17.pdf?1495483586,2017-05-22,,1645.jpeg,Climate
